Percent,Number,Method,Rank
31.88%,51,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
30.63%,49,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
29.38%,47,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
31.88%,51,SMA-30c,3
31.88%,51,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
30.63%,49,SMA-30c,3
30.63%,49,SMA-30c,3
30.00%,48,SMA-30c,3
31.25%,50,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
30.00%,48,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
30.00%,48,SMA-30c,3
35.00%,56,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
30.63%,49,SMA-30c,3
33.13%,53,SMA-30c,3
35.63%,57,SMA-30c,3
33.13%,53,SMA-30c,3
31.25%,50,SMA-30c,3
31.25%,50,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
30.63%,49,SMA-30c,3
31.25%,50,SMA-30c,3
34.38%,55,SMA-30c,3
33.75%,54,SMA-30c,3
31.25%,50,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
32.50%,52,SMA-30c,3
36.88%,59,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
36.88%,59,SMA-30c,3
33.75%,54,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
36.25%,58,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
29.38%,47,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
35.63%,57,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
31.88%,51,SMA-30c,3
32.50%,52,SMA-30c,3
35.63%,57,SMA-30c,3
33.13%,53,SMA-30c,3
30.63%,49,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
35.00%,56,SMA-30c,3
35.63%,57,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
36.88%,59,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
35.63%,57,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
35.63%,57,SMA-30c,3
34.38%,55,SMA-30c,3
34.38%,55,SMA-30c,3
31.25%,50,SMA-30c,3
35.00%,56,SMA-30c,3
36.25%,58,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
35.63%,57,SMA-30c,3
36.25%,58,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
36.25%,58,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
31.25%,50,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
31.25%,50,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
35.00%,56,SMA-30c,3
34.38%,55,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
31.88%,51,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
35.63%,57,SMA-30c,3
34.38%,55,SMA-30c,3
36.25%,58,SMA-30c,3
31.25%,50,SMA-30c,3
33.13%,53,SMA-30c,3
36.25%,58,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
35.63%,57,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
36.25%,58,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
36.88%,59,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
35.00%,56,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
36.88%,59,SMA-30c,3
35.00%,56,SMA-30c,3
36.25%,58,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
36.25%,58,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
36.25%,58,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
31.25%,50,SMA-30c,3
30.63%,49,SMA-30c,3
35.00%,56,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
31.88%,51,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
31.25%,50,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
31.25%,50,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
35.63%,57,SMA-30c,3
36.25%,58,SMA-30c,3
31.88%,51,SMA-30c,3
32.50%,52,SMA-30c,3
29.38%,47,SMA-30c,3
32.50%,52,SMA-30c,3
35.63%,57,SMA-30c,3
31.25%,50,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
35.63%,57,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
35.63%,57,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
30.63%,49,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
36.25%,58,SMA-30c,3
31.25%,50,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
35.00%,56,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
31.25%,50,SMA-30c,3
32.50%,52,SMA-30c,3
35.00%,56,SMA-30c,3
35.00%,56,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
30.00%,48,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
31.25%,50,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
30.00%,48,SMA-30c,3
34.38%,55,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
31.25%,50,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
31.25%,50,SMA-30c,3
33.75%,54,SMA-30c,3
35.63%,57,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
33.13%,53,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
34.38%,55,SMA-30c,3
31.88%,51,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
35.63%,57,SMA-30c,3
35.63%,57,SMA-30c,3
33.13%,53,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
35.63%,57,SMA-30c,3
36.25%,58,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
31.88%,51,SMA-30c,3
34.38%,55,SMA-30c,3
31.88%,51,SMA-30c,3
36.25%,58,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
31.25%,50,SMA-30c,3
34.38%,55,SMA-30c,3
32.50%,52,SMA-30c,3
33.75%,54,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
35.00%,56,SMA-30c,3
33.75%,54,SMA-30c,3
33.75%,54,SMA-30c,3
33.13%,53,SMA-30c,3
31.25%,50,SMA-30c,3
30.00%,48,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
30.63%,49,SMA-30c,3
33.13%,53,SMA-30c,3
31.88%,51,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
31.88%,51,SMA-30c,3
31.88%,51,SMA-30c,3
31.25%,50,SMA-30c,3
31.88%,51,SMA-30c,3
33.13%,53,SMA-30c,3
32.50%,52,SMA-30c,3
32.50%,52,SMA-30c,3
31.25%,50,SMA-30c,3
30.00%,48,SMA-30c,3
31.88%,51,SMA-30c,3
31.88%,51,SMA-30c,3
36.25%,58,SMA-30c,3
33.13%,53,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
35.63%,57,SMA-30c,3
31.88%,51,SMA-30c,3
30.63%,49,SMA-30c,3
31.88%,51,SMA-30c,3
33.75%,54,SMA-30c,3
34.38%,55,SMA-30c,3
35.00%,56,SMA-30c,3
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
48.75%,78,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
43.75%,70,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
48.75%,78,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
43.75%,70,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
48.75%,78,LP-C,10
46.88%,75,LP-C,10
49.38%,79,LP-C,10
47.50%,76,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
48.13%,77,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
48.13%,77,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
49.38%,79,LP-C,10
46.25%,74,LP-C,10
50.00%,80,LP-C,10
43.13%,69,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
44.38%,71,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
48.13%,77,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
43.75%,70,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
43.75%,70,LP-C,10
48.13%,77,LP-C,10
49.38%,79,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
43.75%,70,LP-C,10
45.63%,73,LP-C,10
48.75%,78,LP-C,10
43.75%,70,LP-C,10
45.00%,72,LP-C,10
43.75%,70,LP-C,10
45.00%,72,LP-C,10
48.13%,77,LP-C,10
43.75%,70,LP-C,10
43.75%,70,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
43.75%,70,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
43.75%,70,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
43.75%,70,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
47.50%,76,LP-C,10
48.13%,77,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
43.13%,69,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
43.13%,69,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
48.13%,77,LP-C,10
43.75%,70,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
43.75%,70,LP-C,10
46.25%,74,LP-C,10
48.75%,78,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
43.75%,70,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
43.75%,70,LP-C,10
44.38%,71,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
43.13%,69,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
44.38%,71,LP-C,10
43.13%,69,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
44.38%,71,LP-C,10
43.13%,69,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
43.13%,69,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
43.75%,70,LP-C,10
48.75%,78,LP-C,10
42.50%,68,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
43.13%,69,LP-C,10
45.63%,73,LP-C,10
43.13%,69,LP-C,10
43.75%,70,LP-C,10
42.50%,68,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
42.50%,68,LP-C,10
46.88%,75,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
42.50%,68,LP-C,10
47.50%,76,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
42.50%,68,LP-C,10
44.38%,71,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
43.13%,69,LP-C,10
45.00%,72,LP-C,10
48.75%,78,LP-C,10
42.50%,68,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
50.00%,80,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
50.00%,80,LP-C,10
47.50%,76,LP-C,10
48.75%,78,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
48.75%,78,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
48.75%,78,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
44.38%,71,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
47.50%,76,LP-C,10
46.25%,74,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
50.00%,80,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
49.38%,79,LP-C,10
48.13%,77,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
45.63%,73,LP-C,10
45.63%,73,LP-C,10
48.13%,77,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
45.63%,73,LP-C,10
48.75%,78,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
46.88%,75,LP-C,10
46.88%,75,LP-C,10
46.25%,74,LP-C,10
46.25%,74,LP-C,10
44.38%,71,LP-C,10
47.50%,76,LP-C,10
47.50%,76,LP-C,10
44.38%,71,LP-C,10
46.88%,75,LP-C,10
48.13%,77,LP-C,10
46.25%,74,LP-C,10
48.75%,78,LP-C,10
46.25%,74,LP-C,10
46.88%,75,LP-C,10
45.63%,73,LP-C,10
45.00%,72,LP-C,10
45.00%,72,LP-C,10
47.50%,76,LP-C,10
45.63%,73,LP-C,10
47.50%,76,LP-C,10
46.88%,75,LP-C,10
45.00%,72,LP-C,10
48.13%,77,LP-C,10
45.63%,73,LP-C,10
46.25%,74,LP-C,10
45.00%,72,LP-C,10
48.75%,78,LP-C,10
45.63%,73,LP-C,10
49.38%,79,LP-C,10
45.00%,72,LP-C,10
46.25%,74,LP-C,10
