b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
84,51,70,42,82,54,53,81,125,70
77,54,75,46,84,56,52,79,127,67
79,53,75,45,82,52,56,82,82,50
82,54,74,42,81,54,53,82,123,71
82,54,77,42,84,55,53,83,125,64
81,50,70,45,83,54,54,82,83,54
84,52,77,44,82,54,53,82,126,67
80,55,79,46,79,51,52,80,125,68
80,55,73,43,83,54,55,85,83,54
83,56,71,46,78,55,53,81,126,67
80,55,75,43,82,55,55,84,126,68
85,55,73,41,79,52,55,82,85,53
81,52,73,43,80,54,51,82,126,65
81,57,74,47,79,49,54,81,126,69
80,51,77,46,77,50,53,81,76,53
83,54,75,44,77,48,52,81,127,67
79,52,73,42,79,54,52,82,125,67
82,55,74,45,80,51,53,81,78,53
78,50,74,45,80,55,54,82,123,71
86,54,71,47,80,53,52,82,125,65
82,58,75,43,80,52,57,86,79,51
80,53,74,42,80,54,52,79,127,70
82,53,76,44,79,50,57,83,121,69
81,55,76,46,80,53,58,85,83,53
79,55,74,44,79,51,50,82,79,55
87,55,72,45,80,51,52,84,124,66
82,51,75,44,83,56,51,80,128,66
79,55,75,43,81,55,55,82,81,51
79,53,76,46,80,50,51,80,124,70
79,53,73,45,80,51,54,78,126,68
80,53,76,41,81,53,54,84,82,52
79,54,70,45,82,55,57,84,124,66
85,52,73,43,77,53,56,84,82,54
81,54,78,45,77,49,54,83,127,68
79,57,70,41,82,55,53,83,82,57
84,55,72,46,79,51,52,82,126,64
82,55,70,40,80,53,52,83,83,56
82,52,72,41,81,53,53,82,125,71
86,55,77,43,78,53,54,81,83,55
81,51,70,44,80,53,53,83,86,53
82,59,70,43,80,53,55,84,126,70
82,52,73,41,76,50,54,78,125,65
79,56,74,43,81,53,51,79,76,54
81,54,70,41,78,52,57,86,124,67
85,51,72,44,79,52,54,79,125,67
81,55,74,44,81,53,54,83,85,54
81,52,73,47,82,54,52,82,125,70
80,56,71,45,78,51,52,81,125,73
78,56,70,45,82,55,54,83,83,56
80,52,75,43,81,54,54,84,126,70
81,52,72,44,80,54,54,82,126,71
81,56,76,43,83,54,53,81,79,52
86,53,74,45,81,54,51,78,127,71
83,55,72,43,79,51,51,83,126,69
80,50,70,45,82,50,49,78,76,54
81,53,76,46,78,51,55,82,124,64
82,51,74,46,82,53,51,79,124,73
79,53,72,45,77,50,54,81,79,52
80,56,76,47,82,54,54,81,127,70
80,53,77,46,83,51,53,82,124,66
82,52,73,45,79,55,55,82,83,55
83,52,74,45,83,56,53,82,126,70
79,49,77,43,77,52,55,82,81,55
85,51,74,45,83,56,55,84,127,73
79,54,73,45,80,54,53,80,125,69
79,53,69,42,80,50,54,87,84,54
81,50,71,44,78,51,52,82,125,70
87,58,72,45,81,51,54,78,81,53
79,55,75,44,81,53,54,81,123,65
78,53,73,41,82,54,52,77,124,68
85,53,72,46,81,51,53,81,80,53
84,53,69,40,79,51,54,80,126,66
83,58,75,44,81,50,54,80,124,71
81,52,73,46,76,50,49,79,80,52
83,55,77,43,82,53,50,81,82,53
80,53,74,42,78,50,50,79,124,68
84,56,72,46,79,54,53,84,124,69
86,56,77,46,78,50,52,81,80,51
83,53,70,45,80,53,52,84,125,65
85,53,76,43,78,51,49,80,125,67
78,56,73,45,80,51,49,79,81,54
81,56,70,42,83,53,50,79,126,66
78,49,74,47,82,55,54,83,125,68
77,53,78,47,80,51,54,85,82,52
83,56,74,45,82,52,51,81,124,64
80,57,72,43,77,52,52,83,124,68
82,51,75,47,78,50,53,81,79,51
81,55,77,43,80,55,55,81,124,68
80,51,75,44,80,53,51,81,127,67
84,52,73,43,78,55,54,81,80,52
81,50,76,42,79,49,54,80,122,65
83,55,71,44,83,54,50,81,126,68
81,52,74,44,84,55,52,83,83,53
84,55,74,44,84,55,53,80,125,68
79,53,70,40,84,55,50,80,82,52
84,53,72,40,84,55,54,80,77,55
84,57,72,43,84,55,54,82,122,67
81,53,72,42,84,55,55,84,124,68
82,54,72,43,84,55,55,84,82,53
80,52,72,46,84,55,55,84,123,70
83,55,74,49,84,55,55,84,122,68
82,51,72,46,82,53,55,84,80,56
81,53,74,40,83,55,55,84,125,67
